category,crop,variant,kc_ini,kc_mid,kc_end,max_height_m
Forages,Grazing Pasture,Rotated Grazing,0.40,0.85-1.05,0.85,0.15-0.30
Forages,Grazing Pasture,Extensive Grazing,0.30,0.75,0.75,0.10
Forages,Turf grass,cool season 15,0.90,0.95,0.95,0.10
Forages,Turf grass,warm season 15,0.80,0.85,0.85,0.10
Sugar Cane,Sugar Cane,,0.40,1.25,0.75,3
Tropical Fruits and Trees,Banana,1st year,0.50,1.10,1.00,3
Tropical Fruits and Trees,Banana,2nd year,1.00,1.20,1.10,4
Tropical Fruits and Trees,Cacao,,1.00,1.05,1.05,3
Tropical Fruits and Trees,Coffee,bare ground cover,0.90,0.95,0.95,2-3
Tropical Fruits and Trees,Coffee,with weeds,1.05,1.10,1.10,2-3
Tropical Fruits and Trees,Date Palms,,0.90,0.95,0.95,8
Tropical Fruits and Trees,Palm Trees,,0.95,1.00,1.00,8
Tropical Fruits and Trees,Pineapple 16,bare soil,0.50,0.30,0.30,0.6-1.2
Tropical Fruits and Trees,Pineapple 16,with grass cover,0.50,0.50,0.50,0.6-1.2
Tropical Fruits and Trees,Rubber Trees,,0.95,1.00,1.00,10
Tropical Fruits and Trees,Tea,non-shaded,0.95,1.00,1.00,1.5
Tropical Fruits and Trees,Tea,shaded 17,1.10,1.15,1.15,2
Grapes and Berries,Berries (bushes),,0.30,1.05,0.50,1.5
Grapes and Berries,Grapes,Table or Raisin,0.30,0.85,0.45,2
Grapes and Berries,Grapes,Wine,0.30,0.70,0.45,1.5-2
Grapes and Berries,Hops,,0.3,1.05,0.85,5
Fruit Trees,"Almonds, no ground cover",,0.40,0.90,0.6518,5
Fruit Trees,"Apples, Cherries, Pears 19","no ground cover, killing frost",0.45,0.95,0.7018,4
Fruit Trees,"Apples, Cherries, Pears 19","no ground cover, no frosts",0.60,0.95,0.7518,4
Fruit Trees,"Apples, Cherries, Pears 19","active ground cover, killing frost",0.50,1.20,0.9518,4
Fruit Trees,"Apples, Cherries, Pears 19","active ground cover, no frosts",0.80,1.20,0.8518,4
Fruit Trees,"Apricots, Peaches, Stone Fruit 19, 20","no ground cover, killing frost",0.45,0.90,0.6518,3
Fruit Trees,"Apricots, Peaches, Stone Fruit 19, 20","no ground cover, no frosts",0.55,0.90,0.6518,3
Fruit Trees,"Apricots, Peaches, Stone Fruit 19, 20","active ground cover, killing frost",0.50,1.15,0.9018,3
Fruit Trees,"Apricots, Peaches, Stone Fruit 19, 20","active ground cover, no frosts",0.80,1.15,0.8518,3
Fruit Trees,"Avocado, no ground cover",,0.60,0.85,0.75,3
Fruit Trees,"Citrus, no ground cover 21",70% canopy,0.70,0.65,0.70,4
Fruit Trees,"Citrus, no ground cover 21",50% canopy,0.65,0.60,0.65,3
Fruit Trees,"Citrus, no ground cover 21",20% canopy,0.50,0.45,0.55,2
Fruit Trees,"Citrus, with active ground cover or weeds 22",70% canopy,0.75,0.70,0.75,4
Fruit Trees,"Citrus, with active ground cover or weeds 22",50% canopy,0.80,0.80,0.80,3
Fruit Trees,"Citrus, with active ground cover or weeds 22",20% canopy,0.85,0.85,0.85,2
Fruit Trees,Conifer Trees 23,,1.00,1.00,1.00,10
Fruit Trees,Kiwi,,0.40,1.05,1.05,3
Fruit Trees,Olives (40 to 60% ground coverage by canopy) 24,,0.65,0.70,0.70,3-5
Fruit Trees,"Pistachios, no ground cover",,0.40,1.10,0.45,3-5
Fruit Trees,Walnut Orchard 19,,0.50,1.10,0.6518,4-5
Wetlands - temperate climate,"Cattails, Bulrushes, killing frost",,0.30,1.20,0.30,2
Wetlands - temperate climate,"Cattails, Bulrushes, no frost",,0.60,1.20,0.60,2
Wetlands - temperate climate,"Short Veg., no frost",,1.05,1.10,1.10,0.3
Wetlands - temperate climate,"Reed Swamp, standing water",,1.00,1.20,1.00,1-3
Wetlands - temperate climate,"Reed Swamp, moist soil",,0.90,1.20,0.70,1-3
Special,"Open Water, < 2 m depth or in subhumid climates or tropics",,,1.05,1.05,
Special,"Open Water, > 5 m depth, clear of turbidity, temperate climate",,,0.6525,1.2525,
